Analyte_Abbreviation,Chemical_Name,CASRN,Treatment_Process,Test_Scale,Matrix,Matrix_Detail,Treatment_Temp_C,Treatment_Time,Condition_Details,Effectiveness_Percent,Effectiveness_Type,Measure_Details,Initial_Concentration,Initial_Details,Post_Concentration,Post_Details,Offgas_Concentration,Additional_Details,Citation,Treatment_Time_Minutes,Effectiveness_Percent_Numeric,Initial_Concentration_Numeric,Post_Concentration_Numeric,Offgas_Concentration_Numeric,Treatment_Success,Temperature_Category,Time_Category,In_Chemical_List,Standardized_Chemical_Name
N-MeFOSAA,2-(N-Methylperfluorooctanesulfonamido)acetate,909405-48-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,650.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.314 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.02 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023,20.0,93.63057324840763,0.314,0.02,,True,High,Short,True,2-(N-Methylperfluorooctanesulfonamido)acetate
N-MeFOSAA,2-(N-Methylperfluorooctanesulfonamido)acetate,909405-48-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,650.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.249 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.019 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023,20.0,92.3694779116466,0.249,0.019,,True,High,Short,True,2-(N-Methylperfluorooctanesulfonamido)acetate
N-MeFOSAA,2-(N-Methylperfluorooctanesulfonamido)acetate,909405-48-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,650.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.382 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.02 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,94.76439790575915,0.382,0.02,,True,High,Short,True,2-(N-Methylperfluorooctanesulfonamido)acetate
N-EtFOSAA,2-(N-Ethyl-perfluorooctanesulfonamido)acetate,2991-50-6,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,650.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.225 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.03 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023,20.0,86.66666666666667,0.225,0.03,,True,High,Short,True,2-(N-Ethylperfluorooctanesulfonamido)acetic acid
N-EtFOSAA,2-(N-Ethyl-perfluorooctanesulfonamido)acetate,2991-50-6,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,650.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.172 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.029 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023,20.0,83.13953488372093,0.172,0.029,,True,High,Short,True,2-(N-Ethylperfluorooctanesulfonamido)acetic acid
N-EtFOSAA,2-(N-Ethyl-perfluorooctanesulfonamido)acetate,2991-50-6,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,650.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.262 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.03 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,88.54961832061069,0.262,0.03,,True,High,Short,True,2-(N-Ethylperfluorooctanesulfonamido)acetic acid
FtS 8:2,Fluorotelomer sulfonate 8:2,39108-34-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,650.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.068 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.03 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023,20.0,55.88235294117647,0.068,0.03,,False,High,Short,True,8:2 Fluorotelomer sulfonic acid
FtS 8:2,Fluorotelomer sulfonate 8:2,39108-34-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,650.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.046 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.029 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023,20.0,36.95652173913043,0.046,0.029,,False,High,Short,True,8:2 Fluorotelomer sulfonic acid
FtS 8:2,Fluorotelomer sulfonate 8:2,39108-34-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,650.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.067 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.03 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,55.223880597014926,0.067,0.03,,False,High,Short,True,8:2 Fluorotelomer sulfonic acid
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,650.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.93 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.059 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023,20.0,93.65591397849462,0.93,0.059,,True,High,Short,True,6:2 Fluorotelomer sulfonic acid
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,650.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.674 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay; below quantification limit - reported as measured,<0.058 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file,Mcnamara et al 2023,20.0,91.3946587537092,0.674,0.058,,True,High,Short,True,6:2 Fluorotelomer sulfonic acid
FtS 6:2,Fluorotelomer sulfonate 6:2,27619-97-2,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,650.0,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,1.06 µg/kg,Analyzed with targeted PFAS analysis prior to the TOP assay,<0.061 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023,20.0,94.24528301886794,1.06,0.061,,True,High,Short,True,6:2 Fluorotelomer sulfonic acid
