Analyte Abv.,Analyte Name,CASRN,Treatment Process,Test Scale,Matrix,Matrix Detail,Treatment Temperature (°C),Treatment Time,Condition Details,Effectiveness (%),Effectiveness Type,Measure Details,Initial Concentration,Initial Details,Post Concentration,Post Details,Offgas Concentration,Additional Details,Citation
PFUnA,Perfluoroundecanoic acid,2058-94-8,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.069 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.021 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFUnA,Perfluoroundecanoic acid,2058-94-8,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.053 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFUnA,Perfluoroundecanoic acid,2058-94-8,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.06 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.019 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFTeDA,Perfluorotetradecanoic acid,376-06-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.036 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFTeDA,Perfluorotetradecanoic acid,376-06-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.037 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFTeDA,Perfluorotetradecanoic acid,376-06-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.034 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.019 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFPeS,Perfluoropentanesulfonic acid,2706-91-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.022 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFPeS,Perfluoropentanesulfonic acid,2706-91-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.067 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFPeS,Perfluoropentanesulfonic acid,2706-91-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.486 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.019 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFPeA,Perfluoropentanoic acid,2706-90-3,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.833 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFPeA,Perfluoropentanoic acid,2706-90-3,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.378 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFPeA,Perfluoropentanoic acid,2706-90-3,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.262 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.019 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFOSA,Perfluorooctanesulfonamide,754-91-6,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.05 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFOSA,Perfluorooctanesulfonamide,754-91-6,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.035 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFOSA,Perfluorooctanesulfonamide,754-91-6,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.059 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.019 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.315 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.049 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,1.25 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay",<0.051 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFOS,Perfluorooctylsulfonate,1763-23-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,1.09 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay",<0.048 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFOA,Perflouorooctanoate,335-67-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.206 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.082 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFOA,Perflouorooctanoate,335-67-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.18 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.079 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFOA,Perflouorooctanoate,335-67-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.129 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.077 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFNS,Perfluorononane sulfonate,474511-07-4 or 68259-12-1 as acid,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.038 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.031 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFNA,Perfluorononanoic acid,375-95-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.148 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFNA,Perfluorononanoic acid,375-95-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.066 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFNA,Perfluorononanoic acid,375-95-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.082 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.019 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.308 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.031 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.279 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.03 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFHxS,Perfluorohexyl sulfonate,355-46-4 as acid,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.307 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.029 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFHxA,Perfluorohexanoic acid,307-24-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,1.13 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay",<0.02 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFHxA,Perfluorohexanoic acid,307-24-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.747 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFHxA,Perfluorohexanoic acid,307-24-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,1.02 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay",<0.019 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFHpA,Perfluoroheptanoic acid,375-85-9,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.23 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFHpA,Perfluoroheptanoic acid,375-85-9,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.07 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFHpS,Perfluoroheptyl sulfonate,375-92-8 as acid,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.081 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFHpA,Perfluoroheptanoic acid,375-85-9,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.039 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.019 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFHpS,Perfluoroheptyl sulfonate,375-92-8 as acid,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.05 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFHpS,Perfluoroheptyl sulfonate,375-92-8 as acid,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.095 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.019 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFDoA,Perfluorododecanoic acid,307-55-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.106 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFDoA,Perfluorododecanoic acid,307-55-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.096 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFDoA,Perfluorododecanoic acid,307-55-1,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.098 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.019 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFDS,Perfluorodecyl sulfonate,335-77-3 as acid,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.092 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.029 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFDA,Perfluorodecanoic acid,335-76-2,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.171 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.041 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFDA,Perfluorodecanoic acid,335-76-2,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.112 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.039 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFDA,Perfluorodecanoic acid,335-76-2,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.168 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.039 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFBS,Perfluorobutyl sulfonate,375-73-5 as acid,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.046 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFBA,Perfluorobutanoic acid,375-22-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.148 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.039 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFBA,Perfluorobutanoic acid,375-22-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.516 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.041 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
PFBA,Perfluorobutanoic acid,375-22-4,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.142 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.039 µg/kg,Below detection limit,,Feed-1-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
N-MeFOSE,N-Methylperfluorooctanesulfonamidoethanol,24448-09-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.249 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-2-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
N-MeFOSE,N-Methylperfluorooctanesulfonamidoethanol,24448-09-7,Pyrolysis,Lab,Sludge,Biosolids that contained a heat dried blend of waste activated sludge and anaerobically digested primary solids,500,20 minute,Samples purged with argon; Heated at 10 to 15 degrees C per minute and then held at treatment temperature for 20 minutes,,,,0.314 µg/kg,"Analyzed with targeted PFAS analysis
prior to the TOP assay; below quantification limit - reported as measured",<0.02 µg/kg,Below detection limit,,Feed-3-Pre; Data from ESI Table S1 in supplemental data; Detection limit found in supplemental data Excel file and divided by 5 to account for dilution factor,Mcnamara et al 2023
