step,task_type,total_loss,node_loss,graph_loss,energy_loss,physics_loss,lr,phase
0,node,0.625608503818512,0.0034131286665797234,0.0,6.252671718597412,0.0,0.0009999999938623398,1
1,graph,0.8245732188224792,0.0,1.1385421752929688,0.0,0.3553594946861267,0.0009999999754493592,1
2,graph,0.7978449463844299,0.0,0.8908764123916626,0.0,0.3543786406517029,0.0009999999447610588,1
3,graph,0.7912700772285461,0.0,1.2262625694274902,0.0,0.33432191610336304,0.0009999999017974391,1
4,node,0.48221567273139954,0.003012565430253744,0.0,4.819144248962402,0.0,0.0009999998465585018,1
5,graph,0.762031078338623,0.0,0.7661938667297363,0.0,0.3427058458328247,0.0009999997790442476,1
6,graph,0.772676408290863,0.0,0.8581167459487915,0.0,0.34343236684799194,0.0009999996992546786,1
7,graph,0.772487461566925,0.0,0.8618462085723877,0.0,0.34315142035484314,0.0009999996071897966,1
8,node,0.36060264706611633,0.002923103980720043,0.0,3.6031033992767334,0.0,0.0009999995028496036,1
9,graph,0.7650944590568542,0.0,1.0365419387817383,0.0,0.33072012662887573,0.0009999993862341025,1
10,graph,0.7671536207199097,0.0,0.795860230922699,0.0,0.34378379583358765,0.000999999257343296,1
11,graph,0.7394856214523315,0.0,0.994025468826294,0.0,0.3200415372848511,0.0009999991161771876,1
12,node,0.356698602437973,0.0031743403524160385,0.0,3.563811779022217,0.0,0.0009999989627357804,1
13,graph,0.6984469294548035,0.0,0.8457456827163696,0.0,0.3069361746311188,0.0009999987970190783,1
14,graph,0.679498553276062,0.0,0.9179979562759399,0.0,0.293849378824234,0.0009999986190270857,1
15,graph,0.6701875329017639,0.0,0.9480394124984741,0.0,0.28769180178642273,0.0009999984287598063,1
16,node,0.4219360053539276,0.0031001209281384945,0.0,4.216259956359863,0.0,0.0009999982262172454,1
17,graph,0.7270612120628357,0.0,1.0186855792999268,0.0,0.31259632110595703,0.0009999980113994079,1
18,graph,0.7070972919464111,0.0,0.9951356053352356,0.0,0.3037918508052826,0.0009999977843062988,1
