step,timestamp,phase,total_loss,node_loss,graph_loss,energy_loss,physics_loss,learning_rate,steps_per_sec,elapsed_time,weight_node,weight_graph,weight_energy,weight_physics
0,1753489288.114244,node,0.20704174041748047,0.0034884533379226923,0.0,2.0669288635253906,0.0,0.00019999999969928548,0.0,1.389758586883545,1.0,1.0,1.0,1.0
1,1753489288.7164605,graph,279.42431640625,0.0,1.3239355087280273,0.0,139.64596557617188,0.00019999999879714197,1.6605324324720225,1.9919750690460205,0.1,0.1,0.1,2.0
2,1753489288.9848065,graph,213.62384033203125,0.0,0.9876962304115295,0.0,106.76253509521484,0.00019999999729356944,3.726531174340863,2.2603211402893066,0.1,0.1,0.1,2.0
3,1753489289.268078,graph,158.2146759033203,0.0,0.9853994846343994,0.0,79.05806732177734,0.00019999999518856791,3.530181537832235,2.543592691421509,0.1,0.1,0.1,2.0
4,1753489289.464059,node,3.649433135986328,0.0033024721778929234,0.0,36.49102783203125,0.0,0.0001999999924821374,5.102534780852648,2.7395737171173096,1.0,1.0,1.0,1.0
5,1753489289.7039144,graph,218.32888793945312,0.0,0.8884763717651367,0.0,109.1200180053711,0.0001999999891742779,4.169180518197343,2.979429006576538,0.1,0.1,0.1,2.0
6,1753489289.9608746,graph,197.64593505859375,0.0,0.9482424855232239,0.0,98.77555847167969,0.00019999998526498946,3.891653962954956,3.23638916015625,0.1,0.1,0.1,2.0
7,1753489290.214793,graph,219.05015563964844,0.0,0.7801473140716553,0.0,109.48606872558594,0.00019999998075427206,3.9382729380259924,3.490307569503784,0.1,0.1,0.1,2.0
8,1753489290.4308076,node,0.20035025477409363,0.004167697858065367,0.0,1.9993348121643066,0.0,0.00019999997564212579,4.629316215449582,3.706322193145752,1.0,1.0,1.0,1.0
9,1753489290.7002795,graph,150.2586212158203,0.0,0.7284906506538391,0.0,75.09288787841797,0.00019999996992855064,3.710962294082621,3.9757940769195557,0.1,0.1,0.1,2.0
10,1753489290.975971,graph,174.4473114013672,0.0,0.8454939723014832,0.0,87.18138122558594,0.00019999996361354667,3.6272426478854727,4.251485586166382,0.1,0.1,0.1,2.0
11,1753489291.2261982,graph,170.9482879638672,0.0,0.8744552135467529,0.0,85.430419921875,0.00019999995669711388,3.9963678945507937,4.501712799072266,0.1,0.1,0.1,2.0
12,1753489291.3938649,node,0.35153281688690186,0.0034171659499406815,0.0,3.511910915374756,0.0,0.00019999994917925236,5.964214462953878,4.669379472732544,1.0,1.0,1.0,1.0
13,1753489291.6608653,graph,268.97998046875,0.0,0.9515405893325806,0.0,134.44241333007812,0.00019999994105996213,3.7453122251382065,4.936379909515381,0.1,0.1,0.1,2.0
14,1753489291.938723,graph,169.54083251953125,0.0,1.320890188217163,0.0,84.7043685913086,0.00019999993233924327,3.59896346381562,5.214237689971924,0.1,0.1,0.1,2.0
15,1753489292.1891577,graph,194.6129150390625,0.0,1.0285208225250244,0.0,97.2550277709961,0.0001999999230170958,3.993057876102319,5.464672327041626,0.1,0.1,0.1,2.0
16,1753489292.3991785,node,0.269804447889328,0.0031028813682496548,0.0,2.694941520690918,0.0,0.0001999999130935198,4.761433593940681,5.6746931076049805,1.0,1.0,1.0,1.0
17,1753489292.6591394,graph,227.66940307617188,0.0,1.2125580310821533,0.0,113.7740707397461,0.00019999990256851528,3.8467324862086203,5.934653997421265,0.1,0.1,0.1,2.0
18,1753489292.953494,graph,148.42039489746094,0.0,1.0075113773345947,0.0,74.15982055664062,0.00019999989144208236,3.3972621380140984,6.229008674621582,0.1,0.1,0.1,2.0
19,1753489293.207948,graph,179.4276123046875,0.0,0.8638634085655212,0.0,89.67061614990234,0.0001999998797142211,3.9299849989271562,6.483462572097778,0.1,0.1,0.1,2.0
20,1753489293.3699784,node,0.3273095488548279,0.003156280145049095,0.0,3.2699391841888428,0.0,0.00019999986738493156,6.171679137145842,6.645493030548096,1.0,1.0,1.0,1.0
21,1753489293.6305406,graph,184.11181640625,0.0,1.005396842956543,0.0,92.0056381225586,0.0001999998544542138,3.837855495174663,6.906055212020874,0.1,0.1,0.1,2.0
22,1753489293.8854315,graph,239.44000244140625,0.0,1.3030933141708374,0.0,119.65484619140625,0.00019999984092206795,3.923246873509246,7.1609461307525635,0.1,0.1,0.1,2.0
23,1753489294.1665888,graph,182.5210418701172,0.0,1.078444004058838,0.0,91.20659637451172,0.00019999982678849403,3.556728420135017,7.442103385925293,0.1,0.1,0.1,2.0
24,1753489294.3777258,node,0.20778749883174896,0.003200278850272298,0.0,2.074674606323242,0.0,0.00019999981205349215,4.736260025994469,7.653240442276001,1.0,1.0,1.0,1.0
