step,timestamp,phase,total_loss,node_loss,graph_loss,energy_loss,learning_rate,steps_per_sec,elapsed_time,weight_node,weight_graph,weight_energy
2000,1753221292.6239429,node,0.5113885998725891,0.0006106888758949935,0.0,0.5107778906822205,0.0001987984143957116,0.0,1.7873106002807617,1.0,1.0,1.0
2001,1753221294.9629734,graph,0.27617326378822327,0.0,0.27617326378822327,0.0,0.00019879841349912706,0.42752755818830745,4.126341104507446,1.0,1.0,1.0
2002,1753221295.3258948,graph,0.31391429901123047,0.0,0.31391429901123047,0.0,0.0001987984120048195,2.7554169844626504,4.489262580871582,1.0,1.0,1.0
2003,1753221295.7192326,graph,0.31719809770584106,0.0,0.31719809770584106,0.0,0.00019879840991278894,2.542344485136788,4.8826003074646,1.0,1.0,1.0
2004,1753221296.0295467,node,4.5249505043029785,0.0005542361177504063,0.0,4.5243964195251465,0.00019879840722303538,3.222540474756291,5.1929144859313965,1.0,1.0,1.0
2005,1753221296.3833978,graph,0.34769725799560547,0.0,0.34769725799560547,0.0,0.00019879840393555883,2.826047613496937,5.546765565872192,1.0,1.0,1.0
2006,1753221296.757356,graph,0.308702677488327,0.0,0.308702677488327,0.0,0.00019879840005035935,2.6740962987426156,5.9207236766815186,1.0,1.0,1.0
2007,1753221297.1009634,graph,0.3652299642562866,0.0,0.3652299642562866,0.0,0.00019879839556743688,2.9102979890285416,6.264331102371216,1.0,1.0,1.0
2008,1753221297.408996,node,0.1857520490884781,0.00051537697436288,0.0,0.18523667752742767,0.00019879839048679153,3.246408040972675,6.57236385345459,1.0,1.0,1.0
2009,1753221297.7881796,graph,0.33136406540870667,0.0,0.33136406540870667,0.0,0.0001987983848084233,2.637245340984186,6.951547384262085,1.0,1.0,1.0
2010,1753221298.1527965,graph,0.28028804063796997,0.0,0.28028804063796997,0.0,0.00019879837853233225,2.7426048542026034,7.316164255142212,1.0,1.0,1.0
2011,1753221298.5189054,graph,0.2616029977798462,0.0,0.2616029977798462,0.0,0.00019879837165851836,2.7314277676331686,7.6822731494903564,1.0,1.0,1.0
2012,1753221298.8467448,node,0.2263871282339096,0.0006942310719750822,0.0,0.22569289803504944,0.00019879836418698174,3.050274242977387,8.010112524032593,1.0,1.0,1.0
2013,1753221299.1993215,graph,0.39195096492767334,0.0,0.39195096492767334,0.0,0.0001987983561177224,2.836262031600999,8.36268925666809,1.0,1.0,1.0
2014,1753221299.5519927,graph,0.4100866913795471,0.0,0.4100866913795471,0.0,0.00019879834745074038,2.835502734567776,8.715360403060913,1.0,1.0,1.0
2015,1753221299.920494,graph,0.39025554060935974,0.0,0.39025554060935974,0.0,0.00019879833818603576,2.7136937138612858,9.083861827850342,1.0,1.0,1.0
