step,timestamp,phase,phase_count_node,phase_count_graph,avg_loss_last_10,best_loss_so_far,time_in_phase
3460,1753221833.174649,node,366,1095,0.5069646313786507,0.044171907007694244,0.0
3470,1753221836.916707,graph,368,1103,0.25879467874765394,0.044171907007694244,0.3900308609008789
3480,1753221840.7431335,node,371,1110,0.2535474494099617,0.044171907007694244,0.0
3490,1753221844.439803,graph,373,1118,0.4522929981350899,0.044171907007694244,0.37041759490966797
3500,1753221848.0696368,node,376,1125,0.29939338117837905,0.044171907007694244,0.0
3510,1753221851.6996417,graph,378,1133,1.8751125179231167,0.044171907007694244,0.3856794834136963
3520,1753221855.2042606,node,381,1140,0.5952571481466293,0.044171907007694244,0.0
3530,1753221858.7674432,graph,383,1148,0.3234653681516647,0.044171907007694244,0.3642234802246094
3540,1753221862.2675254,node,386,1155,3.6857333555817604,0.044171907007694244,0.0
3550,1753221865.774276,graph,388,1163,0.3439110264182091,0.044171907007694244,0.34383535385131836
3560,1753221869.282356,node,391,1170,0.4497295245528221,0.044171907007694244,0.0
3570,1753221872.9381254,graph,393,1178,0.3289144068956375,0.044171907007694244,0.3800630569458008
3580,1753221876.4986892,node,396,1185,0.3370778560638428,0.044171907007694244,0.0
3590,1753221880.083251,graph,398,1193,5.406391541659832,0.044171907007694244,0.3729681968688965
3600,1753221883.5886884,node,401,1200,0.7700283825397491,0.044171907007694244,0.0
3610,1753221887.1412787,graph,403,1208,0.4693135470151901,0.044171907007694244,0.3720085620880127
3620,1753221890.6962955,node,406,1215,0.7039286822080613,0.044171907007694244,0.0
3630,1753221894.2606108,graph,408,1223,0.38772339522838595,0.044171907007694244,0.3635091781616211
3640,1753221897.7937064,node,411,1230,0.7599885284900665,0.044171907007694244,0.0
3650,1753221901.404627,graph,413,1238,0.4402066722512245,0.044171907007694244,0.36263585090637207
3660,1753221904.889381,node,416,1245,1.0004493311047553,0.044171907007694244,0.0
3670,1753221908.4419847,graph,418,1253,0.23355711847543717,0.044171907007694244,0.35492944717407227
3680,1753221911.9681323,node,421,1260,0.2979168824851513,0.044171907007694244,0.0
3690,1753221915.6280468,graph,423,1268,0.44001465290784836,0.044171907007694244,0.38914918899536133
3700,1753221919.1775138,node,426,1275,0.5609041132032871,0.044171907007694244,0.0
3710,1753221922.8066323,graph,428,1283,0.49776612520217894,0.044171907007694244,0.3414318561553955
3720,1753221926.292413,node,431,1290,0.25055518597364423,0.044171907007694244,0.0
3730,1753221929.8193514,graph,433,1298,0.784486173838377,0.044171907007694244,0.3545069694519043
3740,1753221933.3751473,node,436,1305,1.0628236278891563,0.044171907007694244,0.0
3750,1753221936.8535733,graph,438,1313,1.0639956310391425,0.044171907007694244,0.3420398235321045
3760,1753221940.3932147,node,441,1320,0.2495865009725094,0.044171907007694244,0.0
3770,1753221943.9271464,graph,443,1328,0.6201505452394486,0.044171907007694244,0.3593266010284424
3780,1753221947.3698902,node,446,1335,0.7042112290859223,0.044171907007694244,0.0
3790,1753221950.9009953,graph,448,1343,0.43580979108810425,0.044171907007694244,0.3404109477996826
3800,1753221954.4849665,node,451,1350,0.44291253238916395,0.044171907007694244,0.0
3810,1753221958.1302557,graph,453,1358,0.31559659689664843,0.044171907007694244,0.36344051361083984
3820,1753221961.655289,node,456,1365,1.2168259903788567,0.044171907007694244,0.0
3830,1753221965.203786,graph,458,1373,0.3410774439573288,0.044171907007694244,0.3462374210357666
3840,1753221968.7978275,node,461,1380,0.7664595812559127,0.044171907007694244,0.0
3850,1753221972.4071414,graph,463,1388,0.6175625175237656,0.044171907007694244,0.3424208164215088
3860,1753221975.9476185,node,466,1395,0.5674988195300102,0.044171907007694244,0.0
3870,1753221979.561986,graph,468,1403,0.41857347190380095,0.044171907007694244,0.35497379302978516
3880,1753221983.1510818,node,471,1410,0.8878782913088799,0.044171907007694244,0.0
3890,1753221986.6922367,graph,473,1418,0.18845830708742142,0.044171907007694244,0.34801220893859863
3900,1753221990.2625132,node,476,1425,0.767109676450491,0.044171907007694244,0.0
3910,1753221993.852461,graph,478,1433,0.9470255151391029,0.044171907007694244,0.35463905334472656
3920,1753221997.412726,node,481,1440,1.1830165155231953,0.044171907007694244,0.0
3930,1753222001.0062675,graph,483,1448,0.4465151682496071,0.044171907007694244,0.3538033962249756
3940,1753222004.5250576,node,486,1455,0.4979176461696625,0.044171907007694244,0.0
3950,1753222008.0218182,graph,488,1463,0.3458781436085701,0.044171907007694244,0.35685133934020996
3960,1753222011.569636,node,491,1470,0.19396474659442903,0.044171907007694244,0.0
3970,1753222015.093545,graph,493,1478,0.49784876704216,0.044171907007694244,0.365403413772583
3980,1753222018.5116472,node,496,1485,1.7442279204726219,0.044171907007694244,0.0
3990,1753222022.0136378,graph,498,1493,0.5790806584060192,0.044171907007694244,0.36971187591552734
4000,1753222025.5246563,node,501,1500,0.6292347177863121,0.044171907007694244,0.0
4010,1753222029.6104944,graph,503,1508,0.24495436027646064,0.044171907007694244,0.3574709892272949
4020,1753222033.1509216,node,506,1515,0.971362116932869,0.044171907007694244,0.0
4030,1753222036.5841758,graph,508,1523,0.9041347473859787,0.044171907007694244,0.3422963619232178
4040,1753222040.0684197,node,511,1530,1.0855990886688232,0.044171907007694244,0.0
4050,1753222043.5763533,graph,513,1538,2.770321835577488,0.044171907007694244,0.37023472785949707
4060,1753222046.962083,node,516,1545,0.4424975723028183,0.044171907007694244,0.0
4070,1753222050.5641296,graph,518,1553,0.4015130244195461,0.044171907007694244,0.3543252944946289
4080,1753222054.0997744,node,521,1560,0.3330964967608452,0.044171907007694244,0.0
4090,1753222057.6401966,graph,523,1568,0.8679511986672879,0.044171907007694244,0.3563265800476074
4100,1753222061.1253834,node,526,1575,0.4320473983883858,0.044171907007694244,0.0
4110,1753222064.72533,graph,528,1583,0.32623113691806793,0.044171907007694244,0.364393949508667
4120,1753222068.2430756,node,531,1590,1.0530250549316407,0.044171907007694244,0.0
4130,1753222071.7979932,graph,533,1598,0.7540883347392082,0.044171907007694244,0.385235071182251
4140,1753222075.3903291,node,536,1605,0.7864999137818813,0.044171907007694244,0.0
4150,1753222078.9261572,graph,538,1613,0.30542696863412855,0.044171907007694244,0.37551069259643555
4160,1753222082.4516578,node,541,1620,0.2945109874010086,0.044171907007694244,0.0
4170,1753222085.9994342,graph,543,1628,0.49028505459427835,0.044171907007694244,0.34938621520996094
4180,1753222089.4908419,node,546,1635,5.108205571770668,0.044171907007694244,0.0
4190,1753222092.996229,graph,548,1643,0.3024809010326862,0.044171907007694244,0.3422508239746094
4200,1753222096.495844,node,551,1650,0.2184244580566883,0.044171907007694244,0.0
4210,1753222100.019556,graph,553,1658,0.689390116930008,0.044171907007694244,0.38187241554260254
4220,1753222103.6005888,node,556,1665,0.6558750428259372,0.044171907007694244,0.0
4230,1753222107.1802335,graph,558,1673,0.2619998686015606,0.044171907007694244,0.3897080421447754
4240,1753222110.762661,node,561,1680,0.3241545096039772,0.044171907007694244,0.0
4250,1753222114.263268,graph,563,1688,0.48273845613002775,0.044171907007694244,0.3708765506744385
4260,1753222117.771035,node,566,1695,0.2215558834373951,0.044171907007694244,0.0
4270,1753222121.3545234,graph,568,1703,0.7452366515994072,0.044171907007694244,0.3631899356842041
4280,1753222124.8746889,node,571,1710,9.390473507344723,0.044171907007694244,0.0
4290,1753222128.4155173,graph,573,1718,0.3232604809105396,0.044171907007694244,0.37664031982421875
4300,1753222132.0368962,node,576,1725,0.6945738784968853,0.044171907007694244,0.0
4310,1753222135.5631535,graph,578,1733,0.4461782895028591,0.044171907007694244,0.3696281909942627
4320,1753222139.1104507,node,581,1740,0.9450978897511959,0.044171907007694244,0.0
4330,1753222142.658043,graph,583,1748,0.37226865664124487,0.044171907007694244,0.3468325138092041
4340,1753222146.1306303,node,586,1755,0.6119817785918713,0.044171907007694244,0.0
4350,1753222149.7073045,graph,588,1763,0.3074130848050117,0.044171907007694244,0.3545243740081787
4360,1753222153.2898324,node,591,1770,0.42636013180017474,0.044171907007694244,0.0
4370,1753222156.8134565,graph,593,1778,0.19032519608736037,0.044171907007694244,0.35562777519226074
4380,1753222160.2248182,node,596,1785,0.3840865850448608,0.044171907007694244,0.0
4390,1753222163.73462,graph,598,1793,0.1482214592397213,0.044171907007694244,0.368927001953125
4400,1753222167.2430341,node,601,1800,0.5611026734113693,0.044171907007694244,0.0
4410,1753222170.7485015,graph,603,1808,0.19377013966441153,0.044171907007694244,0.37267470359802246
4420,1753222174.2260811,node,606,1815,0.21469859927892684,0.044171907007694244,0.0
4430,1753222177.7844265,graph,608,1823,0.1641662172973156,0.044171907007694244,0.35991549491882324
4440,1753222181.3505354,node,611,1830,0.7088279128074646,0.044171907007694244,0.0
4450,1753222184.87625,graph,613,1838,0.3264067679643631,0.044171907007694244,0.3654203414916992
4460,1753222188.3177829,node,616,1845,0.4505155012011528,0.044171907007694244,0.0
4470,1753222191.8563468,graph,618,1853,0.3500393405556679,0.044171907007694244,0.342191219329834
4480,1753222195.339142,node,621,1860,0.27503667399287224,0.044171907007694244,0.0
4490,1753222198.9018407,graph,623,1868,0.27886606082320214,0.044171907007694244,0.3575472831726074
4500,1753222202.3768487,node,626,1875,0.5273372679948807,0.044171907007694244,0.0
4510,1753222205.9638991,graph,628,1883,0.2657435372471809,0.044171907007694244,0.3680412769317627
4520,1753222209.525167,node,631,1890,0.33460895270109176,0.044171907007694244,0.0
4530,1753222213.0077,graph,633,1898,0.24399577155709268,0.044171907007694244,0.34598731994628906
4540,1753222216.3859951,node,636,1905,0.42226384580135345,0.044171907007694244,0.0
4550,1753222219.902217,graph,638,1913,0.28378756940364835,0.044171907007694244,0.37216806411743164
4560,1753222223.4118588,node,641,1920,0.29295787438750265,0.044171907007694244,0.0
4570,1753222226.8677926,graph,643,1928,0.18293699771165847,0.044171907007694244,0.34557437896728516
4580,1753222230.472597,node,646,1935,0.31077719256281855,0.044171907007694244,0.0
4590,1753222234.0463374,graph,648,1943,8.623445226997138,0.044171907007694244,0.3626542091369629
4600,1753222237.4001033,node,651,1950,0.510562602430582,0.044171907007694244,0.0
4610,1753222240.9970124,graph,653,1958,0.2192442923784256,0.044171907007694244,0.3543095588684082
4620,1753222244.5033743,node,656,1965,0.36589373722672464,0.044171907007694244,0.0
4630,1753222248.0630257,graph,658,1973,0.19119046702980996,0.044171907007694244,0.38657617568969727
4640,1753222251.578613,node,661,1980,0.257376778870821,0.044171907007694244,0.0
4650,1753222255.1010091,graph,663,1988,0.34834433868527415,0.044171907007694244,0.3507692813873291
4660,1753222258.6787453,node,666,1995,0.42366527393460274,0.044171907007694244,0.0
4670,1753222262.144585,graph,668,2003,0.527859452366829,0.044171907007694244,0.3623008728027344
4680,1753222265.6828253,node,671,2010,0.31447519510984423,0.044171907007694244,0.0
4690,1753222269.2703283,graph,673,2018,0.4437968097627163,0.044171907007694244,0.3743863105773926
4700,1753222272.832557,node,676,2025,0.5814163036644459,0.044171907007694244,0.0
4710,1753222276.4775364,graph,678,2033,6.9760546907782555,0.044171907007694244,0.3743722438812256
4720,1753222280.064916,node,681,2040,0.19704253263771535,0.044171907007694244,0.0
4730,1753222283.7244494,graph,683,2048,0.14453154280781746,0.044171907007694244,0.3708364963531494
4740,1753222287.4027898,node,686,2055,0.5895582579076291,0.044171907007694244,0.0
4750,1753222291.2779753,graph,688,2063,0.2481774501502514,0.044171907007694244,0.39143800735473633
4760,1753222294.855477,node,691,2070,0.19609779492020607,0.044171907007694244,0.0
4770,1753222298.4247808,graph,693,2078,0.24408477395772935,0.044171907007694244,0.3470649719238281
4780,1753222301.8649082,node,696,2085,4.382668887078762,0.044171907007694244,0.0
4790,1753222305.479866,graph,698,2093,2.85036858022213,0.044171907007694244,0.3836665153503418
4800,1753222309.1501174,node,701,2100,0.35188754722476007,0.044171907007694244,0.0
4810,1753222312.7538373,graph,703,2108,0.18498474471271037,0.03946033492684364,0.36913180351257324
4820,1753222316.2845693,node,706,2115,0.359007553011179,0.03946033492684364,0.0
4830,1753222319.8243835,graph,708,2123,0.24015219137072563,0.03946033492684364,0.3889503479003906
4840,1753222323.3722072,node,711,2130,0.38675558418035505,0.03946033492684364,0.0
4850,1753222327.0003633,graph,713,2138,0.3819390021264553,0.03946033492684364,0.3678758144378662
4860,1753222330.4245455,node,716,2145,0.2773526795208454,0.03946033492684364,0.0
4870,1753222333.9487228,graph,718,2153,0.27920124903321264,0.03946033492684364,0.3684873580932617
4880,1753222337.4421163,node,721,2160,0.6163418956100941,0.03946033492684364,0.0
4890,1753222341.0011246,graph,723,2168,0.12984316200017929,0.03946033492684364,0.345355749130249
4900,1753222344.502439,node,726,2175,0.31198368817567823,0.03946033492684364,0.0
4910,1753222348.0932631,graph,728,2183,1.1109954804182052,0.03946033492684364,0.3583850860595703
4920,1753222351.6805193,node,731,2190,0.25648081824183466,0.03946033492684364,0.0
4930,1753222355.2270777,graph,733,2198,1.2532928518950939,0.03946033492684364,0.3567166328430176
4940,1753222358.7697349,node,736,2205,0.2639279834926128,0.03946033492684364,0.0
4950,1753222362.3571377,graph,738,2213,0.5642475061118603,0.03946033492684364,0.36257481575012207
4960,1753222365.9294043,node,741,2220,1.0391589485108852,0.03946033492684364,0.0
4970,1753222369.608317,graph,743,2228,0.20372399166226388,0.03946033492684364,0.3581550121307373
4980,1753222373.0749102,node,746,2235,0.21906524747610093,0.03946033492684364,0.0
4990,1753222376.6580365,graph,748,2243,0.28818956911563876,0.03946033492684364,0.3775644302368164
5000,1753222380.1949208,node,751,2250,0.24934045523405074,0.03946033492684364,0.0
5010,1753222383.8065984,graph,753,2258,0.234322676807642,0.03946033492684364,0.3763716220855713
5020,1753222387.327983,node,756,2265,0.38700355812907217,0.03946033492684364,0.0
5030,1753222390.8223176,graph,758,2273,0.15464998707175254,0.03946033492684364,0.3499484062194824
5040,1753222394.3657184,node,761,2280,0.3605352625250816,0.03946033492684364,0.0
5050,1753222397.841538,graph,763,2288,0.7085195504128933,0.03946033492684364,0.3710453510284424
5060,1753222401.399104,node,766,2295,0.6545800864696503,0.03946033492684364,0.0
5070,1753222404.968672,graph,768,2303,0.3005115255713463,0.03946033492684364,0.35875558853149414
5080,1753222408.495435,node,771,2310,0.1274819128215313,0.03946033492684364,0.0
5090,1753222412.0043297,graph,773,2318,0.2283305861055851,0.03946033492684364,0.3509202003479004
5100,1753222415.6466696,node,776,2325,0.17123143523931503,0.03946033492684364,0.0
5110,1753222419.220362,graph,778,2333,0.27052871584892274,0.03946033492684364,0.3579065799713135
5120,1753222422.7150168,node,781,2340,0.2636274918913841,0.03946033492684364,0.0
5130,1753222426.2778835,graph,783,2348,1.142253465950489,0.03946033492684364,0.35449790954589844
5140,1753222429.7920327,node,786,2355,0.1842587947845459,0.03946033492684364,0.0
5150,1753222433.3877308,graph,788,2363,0.11157879009842872,0.03946033492684364,0.3746333122253418
5160,1753222436.8862128,node,791,2370,0.4373216561973095,0.03946033492684364,0.0
5170,1753222440.5196376,graph,793,2378,0.4283864922821522,0.03946033492684364,0.36103224754333496
5180,1753222443.9104333,node,796,2385,0.4582014285027981,0.03946033492684364,0.0
5190,1753222447.529093,graph,798,2393,0.26596795693039893,0.03946033492684364,0.381483793258667
5200,1753222451.1079495,node,801,2400,0.4268729083240032,0.03946033492684364,0.0
