step,task_type,total_loss,node_loss,graph_loss,energy_loss,physics_loss,lr,phase
10500,node,0.3183217942714691,0.00045383715769276023,0.0,0.3178679645061493,0.0,9.58044826687414e-06,3
10501,graph,0.18396273255348206,0.0,0.1835189163684845,0.0,0.00044382154010236263,9.580448182110619e-06,3
10502,graph,0.15181265771389008,0.0,0.15095482766628265,0.0,0.0008578322594985366,9.580448040838083e-06,3
10503,graph,0.1367916315793991,0.0,0.13626044988632202,0.0,0.0005311840213835239,9.580447843056537e-06,3
10504,node,4.465941905975342,0.00035986461443826556,0.0,4.465581893920898,0.0,9.580447588765987e-06,3
10505,graph,0.12599840760231018,0.0,0.12555266916751862,0.0,0.0004457441682461649,9.58044727796644e-06,3
10506,graph,0.13678717613220215,0.0,0.13638745248317719,0.0,0.0003997170424554497,9.580446910657901e-06,3
10507,graph,0.1421598494052887,0.0,0.14099878072738647,0.0,0.0011610661167651415,9.580446486840382e-06,3
10508,node,0.0963677242398262,0.00041166399023495615,0.0,0.09595605731010437,0.0,9.58044600651389e-06,3
10509,graph,0.1748858243227005,0.0,0.17439362406730652,0.0,0.0004921974032185972,9.580445469678438e-06,3
10510,graph,0.1301252692937851,0.0,0.12947700917720795,0.0,0.0006482651806436479,9.580444876334042e-06,3
10511,graph,0.34659630060195923,0.0,0.3460037410259247,0.0,0.0005925465375185013,9.580444226480714e-06,3
10512,node,0.18625691533088684,0.0005415731575340033,0.0,0.18571534752845764,0.0,9.580443520118472e-06,3
10513,graph,0.15803498029708862,0.0,0.15738214552402496,0.0,0.0006528348894789815,9.580442757247332e-06,3
10514,graph,0.12870724499225616,0.0,0.12821455299854279,0.0,0.0004926942056044936,9.580441937867313e-06,3
10515,graph,0.123700812458992,0.0,0.12329141050577164,0.0,0.00040940509643405676,9.580441061978434e-06,3
10516,node,0.36163172125816345,0.0005870212917216122,0.0,0.361044704914093,0.0,9.580440129580716e-06,3
10517,graph,0.13698023557662964,0.0,0.1366545408964157,0.0,0.00032569639733992517,9.580439140674186e-06,3
10518,graph,0.25839462876319885,0.0,0.2580069303512573,0.0,0.0003877114795614034,9.580438095258865e-06,3
10519,graph,0.1655052900314331,0.0,0.1652105748653412,0.0,0.0002947102184407413,9.580436993334781e-06,3
10520,node,1.649841547012329,0.0004100468067917973,0.0,1.6494314670562744,0.0,9.58043583490196e-06,3
10521,graph,0.12895625829696655,0.0,0.12846629321575165,0.0,0.0004899673513136804,9.58043461996043e-06,3
10522,graph,0.11650760471820831,0.0,0.11564859747886658,0.0,0.000859010498970747,9.580433348510223e-06,3
10523,graph,0.15643715858459473,0.0,0.15605990588665009,0.0,0.00037725234869867563,9.580432020551369e-06,3
10524,node,100.00049591064453,0.0004985143896192312,0.0,100.0,0.0,9.5804306360839e-06,3
10525,graph,0.11946085095405579,0.0,0.11885328590869904,0.0,0.0006075635319575667,9.580429195107853e-06,3
10526,graph,0.1886233687400818,0.0,0.1880081444978714,0.0,0.0006152264541015029,9.58042769762326e-06,3
10527,graph,0.18863604962825775,0.0,0.18833985924720764,0.0,0.0002961900318041444,9.580426143630159e-06,3
10528,node,4.778759956359863,0.00039816886419430375,0.0,4.778361797332764,0.0,9.58042453312859e-06,3
10529,graph,0.13281123340129852,0.0,0.13248512148857117,0.0,0.0003261163074057549,9.580422866118591e-06,3
10530,graph,0.2702077329158783,0.0,0.2685011625289917,0.0,0.0017065753927454352,9.580421142600204e-06,3
10531,graph,0.18764783442020416,0.0,0.18725964426994324,0.0,0.00038819550536572933,9.58041936257347e-06,3
10532,node,10.36687183380127,0.000525631767231971,0.0,10.36634635925293,0.0,9.580417526038435e-06,3
10533,graph,0.1472810059785843,0.0,0.14675065875053406,0.0,0.0005303513607941568,9.580415632995143e-06,3
10534,graph,0.1300906091928482,0.0,0.1297265887260437,0.0,0.000364027451723814,9.580413683443642e-06,3
10535,graph,0.17061962187290192,0.0,0.16983115673065186,0.0,0.0007884723017923534,9.580411677383978e-06,3
10536,node,0.1578841358423233,0.00033886951860040426,0.0,0.157545268535614,0.0,9.580409614816204e-06,3
10537,graph,0.1468258798122406,0.0,0.1461583375930786,0.0,0.0006675403565168381,9.580407495740367e-06,3
10538,graph,0.10951559245586395,0.0,0.10911643505096436,0.0,0.00039915533852763474,9.580405320156522e-06,3
10539,graph,0.18333454430103302,0.0,0.18282945454120636,0.0,0.0005050865584053099,9.58040308806472e-06,3
10540,node,0.40611693263053894,0.0005570482462644577,0.0,0.4055598974227905,0.0,9.58040079946502e-06,3
10541,graph,0.14662054181098938,0.0,0.14607839286327362,0.0,0.000542152498383075,9.580398454357475e-06,3
10542,graph,0.11158724129199982,0.0,0.11116457730531693,0.0,0.00042266666423529387,9.580396052742144e-06,3
10543,graph,0.1334369033575058,0.0,0.1327492892742157,0.0,0.000687620195094496,9.580393594619087e-06,3
10544,node,1.0687596797943115,0.00043755274964496493,0.0,1.0683221817016602,0.0,9.580391079988363e-06,3
10545,graph,0.1691337376832962,0.0,0.16860812902450562,0.0,0.0005256023141555488,9.580388508850037e-06,3
10546,graph,0.13979171216487885,0.0,0.13936570286750793,0.0,0.0004260110144969076,9.580385881204169e-06,3
10547,graph,0.1481551229953766,0.0,0.14740121364593506,0.0,0.0007539041107520461,9.580383197050825e-06,3
10548,node,2.0381875038146973,0.0004683167499024421,0.0,2.037719249725342,0.0,9.580380456390072e-06,3
10549,graph,0.13085532188415527,0.0,0.13049808144569397,0.0,0.00035724593908526003,9.580377659221978e-06,3
10550,graph,0.19355355203151703,0.0,0.1931278556585312,0.0,0.0004256955871824175,9.58037480554661e-06,3
10551,graph,0.12945356965065002,0.0,0.1288471817970276,0.0,0.0006063902983441949,9.580371895364039e-06,3
10552,node,3.1656365394592285,0.0004010699631180614,0.0,3.1652355194091797,0.0,9.580368928674338e-06,3
10553,graph,0.13645803928375244,0.0,0.13590079545974731,0.0,0.0005572467343881726,9.58036590547758e-06,3
10554,graph,0.16589950025081635,0.0,0.16535621881484985,0.0,0.0005432846373878419,9.58036282577384e-06,3
10555,graph,0.15817609429359436,0.0,0.1571301817893982,0.0,0.0010459114564582705,9.580359689563192e-06,3
10556,node,5.243013381958008,0.00038743234472349286,0.0,5.242625713348389,0.0,9.580356496845715e-06,3
10557,graph,0.156873419880867,0.0,0.15643934905529022,0.0,0.0004340660525485873,9.580353247621489e-06,3
10558,graph,0.1462360918521881,0.0,0.1459025889635086,0.0,0.00033349700970575213,9.58034994189059e-06,3
10559,graph,0.12258712202310562,0.0,0.12211296707391739,0.0,0.0004741550947073847,9.580346579653102e-06,3
10560,node,0.3308315575122833,0.0005064245779067278,0.0,0.3303251266479492,0.0,9.580343160909109e-06,3
10561,graph,0.1179797351360321,0.0,0.11761029064655304,0.0,0.00036944536259397864,9.580339685658694e-06,3
10562,graph,0.11531662940979004,0.0,0.1145467683672905,0.0,0.0007698602275922894,9.580336153901942e-06,3
10563,graph,0.14154699444770813,0.0,0.1407608687877655,0.0,0.0007861305493861437,9.580332565638942e-06,3
10564,node,2.609868049621582,0.0004089378344360739,0.0,2.609459161758423,0.0,9.580328920869782e-06,3
10565,graph,0.15015816688537598,0.0,0.14964967966079712,0.0,0.0005084945005364716,9.580325219594552e-06,3
10566,graph,0.1465408354997635,0.0,0.1462569534778595,0.0,0.0002838881337083876,9.580321461813343e-06,3
10567,graph,0.14437894523143768,0.0,0.1438206285238266,0.0,0.0005583103629760444,9.58031764752625e-06,3
10568,node,2.4779410362243652,0.0005373064777813852,0.0,2.4774036407470703,0.0,9.580313776733362e-06,3
10569,graph,0.14684177935123444,0.0,0.1462680846452713,0.0,0.0005736913881264627,9.580309849434779e-06,3
10570,graph,0.15788550674915314,0.0,0.1573323905467987,0.0,0.0005531194037757814,9.580305865630595e-06,3
10571,graph,0.12948618829250336,0.0,0.1289963573217392,0.0,0.0004898276529274881,9.580301825320911e-06,3
10572,node,1.3673244714736938,0.00042855384526774287,0.0,1.3668959140777588,0.0,9.580297728505823e-06,3
10573,graph,0.1389118880033493,0.0,0.1386045664548874,0.0,0.00030732457526028156,9.580293575185436e-06,3
10574,graph,0.1692395657300949,0.0,0.16855236887931824,0.0,0.0006871907389722764,9.580289365359849e-06,3
10575,graph,0.22111257910728455,0.0,0.22063612937927246,0.0,0.0004764449258800596,9.580285099029169e-06,3
10576,node,2.0726444721221924,0.00047026644460856915,0.0,2.072174310684204,0.0,9.5802807761935e-06,3
10577,graph,0.1488047093153,0.0,0.14822712540626526,0.0,0.0005775877507403493,9.580276396852949e-06,3
